Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Lecourbe - Jean Maridor,48.837964,2.287739,9,19,10,False,2
Grenelle - Violet,48.84993,2.294612,29,35,6,True,5
Repos - Cimetière du Père Lachaise,48.859359,2.389613,22,33,11,True,4
Mouton Duvernet - Général Leclerc,48.831633,2.329312,2,39,37,True,2
Enghien - Faubourg Poissonnière,48.87242,2.348395,3,33,26,False,0
Place Robert Guillemard,48.836192,2.281127,20,24,4,False,0
Raspail - Chomel,48.852233,2.326658,21,49,27,True,3
Marc Sangnier - Porte de Vanves,48.825219,2.310712,2,21,17,False,1
Etienne Jodelle - Saint Ouen,48.88794,2.326124,9,33,21,False,1
Marcelin Berthelot,48.841547,2.233162,13,27,12,False,2
Guy Môquet - Etienne Dolet,48.81527,2.298078,9,23,13,False,7
Jean Jaurès - Presles,48.907134,2.396006,3,30,25,True,3
Boissière - Etienne Dolet,48.876111,2.467731,7,21,14,False,7
Edouard Tremblay - Julian Grimaux,48.781384,2.372351,13,30,16,False,1
Bertie Albrecht - Hoche,48.87614,2.301303,4,32,28,True,3
Sibelle - Alésia,48.826702,2.338498,11,25,14,False,7
Hôtel de Ville de Boulogne Billancourt,48.834959,2.24168,16,26,9,True,4
Cevennes - Bergers,48.842408,2.281038,14,29,14,True,6
Molière - République,48.811116,2.314574,19,30,11,False,12
Chevaleret - Tolbiac,48.82941,2.375934,11,21,10,True,4
Hoche - Jean Lolive,48.891102,2.402844,12,24,11,True,9
David Weill - Parc Montsouris,48.821092,2.333726,2,22,20,True,2
Hôtel de Ville de Nanterre,48.892372,2.205549,21,38,16,True,13
Marcadet - Barbès,48.890451,2.349057,8,37,27,True,3
Vaneau - Sèvres,48.848563,2.320422,23,35,10,False,8
Jean Jaurès - Salvador Allende,48.821476,2.302658,21,43,21,False,12
François Debergue - Croix de Chavaux,48.857422,2.437578,11,57,45,True,5
Nationale - Place Jules Guesde,48.82754,2.241605,10,23,13,False,4
Gabriel Péri - Danielle Casanova,48.790114,2.402578,17,20,3,True,2
Route de la Muette - Porte de Neuilly,48.879893,2.258767,22,50,25,True,0
Carnot - Pâquerettes,48.795929,2.426184,21,26,5,False,3
Tertres - Fontaine,48.787554,2.306236,6,28,22,False,6
Gare Rer de Fontenay sous Bois,48.843628,2.463046,16,61,44,True,5
Raspail - Manufacture des Oeillets,48.809446,2.390301,13,32,19,True,10
Lucie Aubrac - Franklin,48.862239,2.443586,2,36,33,True,2
Place de l'Eglise - Vitry-sur-Seine,48.791923,2.395058,25,28,3,False,1
Noisy le Sec - Jean-Baptiste Clément,48.874515,2.415284,13,22,7,False,11
Marcelle - Thalie,48.883546,2.413788,2,20,16,True,2
Henri Ste-Claire Déville - Paul Héroult,48.892663,2.172411,5,24,19,False,4
Louis Lumière - Porte de Bagnolet,48.864311,2.410521,1,20,19,False,1
Paris - Emile Zola,48.854898,2.418669,7,30,22,True,7
Victor Hugo - Galliéni,48.83802,2.246085,22,34,11,True,7
Victoire - Chaussée d'Antin,48.875066,2.331674,3,24,21,True,0
Proudhon - Président Wilson,48.906443,2.358491,16,30,14,False,5
Square Georges Melies,48.840702,2.409668,13,40,27,False,9
Galilée - Kléber,48.867412,2.290781,5,32,27,True,1
Richard Lenoir - Jean-Pierre Timbaud,48.865804,2.369337,6,36,30,True,1
Legendre - Dulong,48.885325,2.316424,3,23,20,True,1
Bosquet - Saint-Dominique,48.858652,2.303717,16,28,11,True,6
Chemin Vert - Saint-Maur,48.861125,2.381299,4,45,40,True,3
Quai Panhard et Levassor,48.828375,2.384274,28,57,29,True,2
Square du Théâtre du Garde-Chasse,48.881287,2.42012,6,50,44,False,6
Botzaris - Parc des Buttes Chaumont,48.877951,2.381464,4,20,16,False,2
Faubourg Montmartre - La Fayette,48.875255,2.340854,4,35,30,True,3
Joseph Liouville - Croix Nivert,48.844835,2.297508,20,64,41,True,5
Place Madeleine Daniélou,48.883498,2.282015,16,42,25,False,6
Estrapade - Ulm,48.845128,2.345457,3,16,13,False,3
